"date","close","volume","open","high","low"
"16:00","41.04","3,043,523","N/A","41.05","40.55"
"2018/09/18","41.0400","3043523.0000","40.6250","41.0500","40.5500"
"2018/09/17","40.4300","2885168.0000","40.7500","40.9400","40.3500"
"2018/09/14","41.3500","5039295.0000","42.0000","42.0400","40.8700"
"2018/09/13","41.9500","7740953.0000","42.1600","42.5000","41.6500"
"2018/09/12","39.8300","7035558.0000","39.3350","40.2500","38.9700"
"2018/09/11","39.9950","7561791.0000","38.8400","40.0900","38.5500"
"2018/09/10","39.2800","7539727.0000","40.1900","40.2000","38.9800"
"2018/09/07","40.4500","5383166.0000","40.0350","40.9500","39.9400"
"2018/09/06","40.5100","6836707.0000","40.1550","40.5600","39.8600"
"2018/09/05","40.4150","14577130.0000","41.0100","41.9900","40.3400"
"2018/09/04","42.0700","7326389.0000","42.6300","42.7000","41.8200"
"2018/08/31","43.1400","8848819.0000","43.0900","43.1500","42.2800"
"2018/08/30","42.9812","16531960.0000","45.4400","45.4500","42.5000"
"2018/08/29","46.2000","3312660.0000","45.8400","46.2500","45.6500"
"2018/08/28","46.3800","2897718.0000","46.6900","46.7220","46.2000"
"2018/08/27","46.4700","6589204.0000","46.3100","46.8500","46.2600"
"2018/08/24","45.8200","5538467.0000","45.5100","45.9600","45.3900"
"2018/08/23","44.8500","7584605.0000","46.2400","46.3600","44.8000"
"2018/08/22","46.1100","6116518.0000","46.0000","46.3100","45.7703"
"2018/08/21","45.1900","8162400.0000","44.8500","45.4100","44.8400"
"2018/08/20","44.6800","5668585.0000","44.9000","44.9000","44.3700"
"2018/08/17","44.1300","10522580.0000","42.7700","44.5000","42.4800"
"2018/08/16","42.6900","11702300.0000","41.6000","42.6900","41.6000"
"2018/08/15","41.2500","26774290.0000","40.0000","41.7000","39.8000"
"2018/08/14","44.2000","8239061.0000","44.4300","44.4700","44.1000"
"2018/08/13","45.7500","5048213.0000","46.5000","46.5400","45.6700"
"2018/08/10","47.0500","5724663.0000","46.9950","47.1500","46.7500"
"2018/08/09","47.5500","6609091.0000","47.7300","47.8800","47.5000"
"2018/08/08","46.4100","5095398.0000","46.3300","46.5000","45.9500"
"2018/08/07","45.8300","4553880.0000","45.9800","46.0700","45.6500"
"2018/08/06","45.1400","3596518.0000","45.1600","45.3400","44.9450"
"2018/08/03","45.2400","5918568.0000","44.7700","45.3700","44.7600"
"2018/08/02","44.3700","8409756.0000","43.9400","44.4900","43.8200"
"2018/08/01","45.4500","4591223.0000","45.2250","45.5900","45.0500"
"2018/07/31","45.7000","6370174.0000","45.4500","46.0400","45.2600"
"2018/07/30","46.0000","5734966.0000","47.0000","47.4200","45.9200"
"2018/07/27","47.0200","3692966.0000","47.5300","47.6500","46.9000"
"2018/07/26","47.6000","4147641.0000","47.7800","48.0000","47.5000"
"2018/07/25","49.1100","3011645.0000","48.5400","49.2500","48.3300"
"2018/07/24","48.3200","5455716.0000","48.1850","48.6800","48.0100"
"2018/07/23","47.4100","3536438.0000","47.4000","47.5300","47.1500"
"2018/07/20","48.2000","4347941.0000","47.9450","48.4300","47.8700"
"2018/07/19","47.6200","3247800.0000","47.9400","48.0100","45.8800"
"2018/07/18","48.5100","4554466.0000","48.1800","48.6000","48.1050"
"2018/07/17","48.4500","3251635.0000","48.0300","48.6400","47.9500"
"2018/07/16","48.4400","2550743.0000","48.6000","48.6000","48.2000"
"2018/07/13","48.7200","3136237.0000","48.5200","48.8300","48.3000"
"2018/07/12","48.9400","5567811.0000","48.7700","49.0000","48.5000"
"2018/07/11","48.2100","3976241.0000","48.0400","48.6900","48.0000"
"2018/07/10","49.2300","6785611.0000","49.3400","49.5400","48.9900"
"2018/07/09","50.9500","3174952.0000","50.7600","50.9900","50.5900"
"2018/07/06","49.7800","2576460.0000","49.3320","50.2000","49.1200"
"2018/07/05","49.5000","3099670.0000","49.5000","49.5900","48.8500"
"2018/07/03","49.4700","1287402.0000","49.9950","50.0900","49.4100"
"2018/07/02","49.6000","2408324.0000","49.3500","49.6000","49.1200"
"2018/06/29","50.2500","6186633.0000","50.1800","50.5500","50.1500"
"2018/06/28","48.9540","6826420.0000","48.1400","49.0000","48.0000"
"2018/06/27","47.8300","6211407.0000","48.8200","48.9400","47.6100"
"2018/06/26","48.9600","5701050.0000","49.1700","49.1799","48.5600"
"2018/06/25","48.7900","8402428.0000","49.6500","49.6500","48.3400"
"2018/06/22","50.4500","3082976.0000","51.0000","51.0000","50.3100"
"2018/06/21","49.9300","5418154.0000","50.7500","50.7500","49.8600"
"2018/06/20","50.8100","3262561.0000","51.1500","51.2500","50.7000"
"2018/06/19","50.8200","6168571.0000","50.3700","50.9300","50.1500"
"2018/06/18","51.6100","3749520.0000","51.6900","51.7000","51.1100"
